;;;;;;;;;;
Segmento;VLAN;Hosts requeridos;Hosts disponibles;Bits prestados;Prefijo CIDR;Máscara;Red;Primer Host;Último Host;Broadcast
NARANJA IZQUIERDA;10;20;30;3;/27;255.255.255.224;192.188.93.0;192.188.93.1;192.188.93.30;192.188.93.31
VERDE IZQUIERDA;20;20;30;3;/27;255.255.255.224;192.188.93.32;192.188.93.33;192.188.93.62;192.188.93.63
NARANJA DERECHA;30;20;30;3;/27;255.255.255.224;192.188.93.64;192.188.93.65;192.188.93.94;192.188.93.95
VERDE DERECHA;40;20;30;3;/27;255.255.255.224;192.188.93.96;192.188.93.97;192.188.93.126;192.188.93.127
ADMIN;99;10;30;3;/27;255.255.255.224;192.188.93.128;192.188.93.129;192.188.93.158;192.188.93.159
;;;;;;;;;;
;;;;;;;;;;
VLAN;Gateway;;;;;;;;;
VLAN10;192.188.93.1;;;;;;;;;
VLAN20;192.188.93.33;;;;;;;;;
VLAN30;192.188.93.65;;;;;;;;;
VLAN40;192.188.93.97;;;;;;;;;
VLAN99;192.188.93.129;;;;;;;;;
